,date,demand
1112,2018-01-17,129286.36500000006
1113,2018-01-18,154648.06500000006
1114,2018-01-19,165070.595
1115,2018-01-20,124825.02499999998
1116,2018-01-21,127305.19999999994
1117,2018-01-22,137955.42500000002
1118,2018-01-23,128314.46999999994
1119,2018-01-24,128899.76500000006
1120,2018-01-25,139245.21
1121,2018-01-26,128599.46000000006
1122,2018-01-27,139114.58500000002
1123,2018-01-28,159436.69000000006
1124,2018-01-29,160437.56500000006
1125,2018-01-30,115239.57
1126,2018-01-31,108524.18
1127,2018-02-01,109949.21
1128,2018-02-02,112946.34000000004
1129,2018-02-03,104947.325
1130,2018-02-04,106065.93499999998
1131,2018-02-05,126465.96000000002
1132,2018-02-06,137539.725
1133,2018-02-07,159307.315
1134,2018-02-08,149473.00999999995
1135,2018-02-09,137101.87000000002
1136,2018-02-10,118113.8
1137,2018-02-11,100440.29
1138,2018-02-12,116209.13
1139,2018-02-13,124882.71500000004
1140,2018-02-14,115269.5
1141,2018-02-15,117260.24499999994
1142,2018-02-16,114736.355
1143,2018-02-17,105799.935
1144,2018-02-18,105085.51499999998
1145,2018-02-19,113116.425
1146,2018-02-20,120035.38500000002
1147,2018-02-21,124481.415
1148,2018-02-22,133607.065
1149,2018-02-23,136328.345
1150,2018-02-24,119226.43499999998
1151,2018-02-25,96305.06999999998
1152,2018-02-26,117952.365
1153,2018-02-27,127894.28500000006
1154,2018-02-28,123400.17
1155,2018-03-01,117346.25999999998
1156,2018-03-02,119960.33000000002
1157,2018-03-03,111096.30499999996
1158,2018-03-04,101334.19999999998
1159,2018-03-05,112527.285
1160,2018-03-06,113850.81
1161,2018-03-07,122717.49999999994
1162,2018-03-08,128732.59
1163,2018-03-09,127805.48500000002
1164,2018-03-10,120398.885
1165,2018-03-11,104486.18
1166,2018-03-12,97542.30999999998
1167,2018-03-13,112663.625
1168,2018-03-14,114195.34999999998
1169,2018-03-15,116045.27
1170,2018-03-16,116284.345
1171,2018-03-17,110715.12000000002
1172,2018-03-18,97262.70500000002
1173,2018-03-19,111617.94500000002
1174,2018-03-20,110794.26
1175,2018-03-21,111254.315
1176,2018-03-22,115020.505
1177,2018-03-23,119298.325
1178,2018-03-24,112312.69499999998
1179,2018-03-25,98918.515
1180,2018-03-26,112488.215
1181,2018-03-27,116809.36500000002
1182,2018-03-28,117744.00499999998
1183,2018-03-29,116457.26
1184,2018-03-30,97070.345
1185,2018-03-31,99687.63999999998
1186,2018-04-01,98817.03
1187,2018-04-02,98258.25
1188,2018-04-03,113381.53
1189,2018-04-04,115974.61
1190,2018-04-05,117551.695
1191,2018-04-06,115979.07
1192,2018-04-07,105938.475
1193,2018-04-08,100571.165
1194,2018-04-09,118702.92500000002
1195,2018-04-10,122423.01000000002
1196,2018-04-11,121944.99499999998
1197,2018-04-12,119876.63000000002
1198,2018-04-13,113609.76
1199,2018-04-14,105135.305
1200,2018-04-15,104123.39000000004
1201,2018-04-16,115694.63999999998
1202,2018-04-17,121092.85499999998
1203,2018-04-18,120784.875
1204,2018-04-19,120448.935
1205,2018-04-20,118324.09
1206,2018-04-21,107479.25999999997
1207,2018-04-22,103662.05
1208,2018-04-23,117799.97000000002
1209,2018-04-24,117642.645
1210,2018-04-25,106654.955
1211,2018-04-26,117617.51
1212,2018-04-27,119079.465
1213,2018-04-28,108613.37999999996
1214,2018-04-29,105277.715
1215,2018-04-30,121551.685
1216,2018-05-01,122642.23499999994
1217,2018-05-02,118716.59500000002
1218,2018-05-03,117357.835
1219,2018-05-04,116870.46000000006
1220,2018-05-05,106892.995
1221,2018-05-06,105840.39
1222,2018-05-07,118254.55499999998
1223,2018-05-08,122876.865
1224,2018-05-09,122721.46000000002
1225,2018-05-10,128518.50499999996
1226,2018-05-11,133467.37
1227,2018-05-12,111273.75499999996
1228,2018-05-13,108729.71
1229,2018-05-14,129885.95500000002
1230,2018-05-15,131900.52
1231,2018-05-16,133399.23
1232,2018-05-17,131757.155
1233,2018-05-18,127353.57499999994
1234,2018-05-19,119262.145
1235,2018-05-20,112349.26
1236,2018-05-21,124046.805
1237,2018-05-22,126922.995
1238,2018-05-23,129352.83000000002
1239,2018-05-24,129553.94
1240,2018-05-25,127957.56999999992
1241,2018-05-26,115384.08499999998
1242,2018-05-27,106044.51
1243,2018-05-28,119360.26500000006
1244,2018-05-29,123142.76
1245,2018-05-30,127830.62
1246,2018-05-31,131159.9450000001
1247,2018-06-01,135864.065
1248,2018-06-02,123226.07500000006
1249,2018-06-03,121177.585
1250,2018-06-04,135385.41
1251,2018-06-05,132975.13
1252,2018-06-06,132038.425
1253,2018-06-07,128577.62999999996
1254,2018-06-08,129910.015
1255,2018-06-09,120232.195
1256,2018-06-10,117037.86500000006
1257,2018-06-11,113420.98500000006
1258,2018-06-12,127261.29499999998
1259,2018-06-13,131574.605
1260,2018-06-14,130544.48500000002
1261,2018-06-15,133009.01
1262,2018-06-16,124351.23499999994
1263,2018-06-17,120785.59500000002
1264,2018-06-18,138518.735
1265,2018-06-19,143830.12
1266,2018-06-20,141305.88000000006
1267,2018-06-21,143542.01999999993
1268,2018-06-22,140296.40000000002
1269,2018-06-23,132165.425
1270,2018-06-24,125850.58000000006
1271,2018-06-25,141972.715
1272,2018-06-26,142842.4
1273,2018-06-27,148100.13
1274,2018-06-28,150445.47000000006
1275,2018-06-29,139188.47999999998
1276,2018-06-30,125394.425
1277,2018-07-01,124313.06999999998
1278,2018-07-02,140713.25500000006
1279,2018-07-03,135759.27500000002
1280,2018-07-04,128580.975
1281,2018-07-05,125861.60000000006
1282,2018-07-06,124242.52
1283,2018-07-07,119717.435
1284,2018-07-08,114562.21500000004
1285,2018-07-09,133874.47500000006
1286,2018-07-10,140342.99499999994
1287,2018-07-11,143461.125
1288,2018-07-12,145767.10000000006
1289,2018-07-13,140542.95
1290,2018-07-14,124491.52999999998
1291,2018-07-15,119464.315
1292,2018-07-16,137446.75
1293,2018-07-17,131367.08999999994
1294,2018-07-18,132856.72
1295,2018-07-19,133778.445
1296,2018-07-20,135728.40500000006
1297,2018-07-21,125928.62
1298,2018-07-22,114186.79999999994
1299,2018-07-23,134664.655
1300,2018-07-24,132967.19000000006
1301,2018-07-25,135308.29499999998
1302,2018-07-26,137634.12499999994
1303,2018-07-27,130119.49999999994
1304,2018-07-28,116942.94000000006
1305,2018-07-29,111555.0
1306,2018-07-30,135422.13499999998
1307,2018-07-31,129519.995
1308,2018-08-01,134004.96
1309,2018-08-02,129025.0
1310,2018-08-03,129740.31499999994
1311,2018-08-04,116238.175
1312,2018-08-05,104912.38
1313,2018-08-06,127198.78
1314,2018-08-07,131851.015
1315,2018-08-08,131939.49999999994
1316,2018-08-09,135670.99000000005
1317,2018-08-10,121875.355
1318,2018-08-11,119988.73500000002
1319,2018-08-12,115231.84999999998
1320,2018-08-13,127541.57
1321,2018-08-14,121073.45000000006
1322,2018-08-15,122602.115
